scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Direct clinical care or management – public health,Care home sector,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Commissioning,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Military,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Governing body or other leadership,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – health visiting,Telephone or e-health advice,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Other,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – public health,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,Private domestic setting,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Quality assurance or inspection,Military,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Education,Inspectorate or regulator,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Other,Military,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – occupational health,Private domestic setting,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – public health,Governing body or other leadership,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – other,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – midwifery,Trade union or professional body,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,Public health organisation,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – other,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Commissioning,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
Policy,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
Education,Prison,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Insurance or legal,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Military,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Commissioning,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – midwifery,Private domestic setting,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – school nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Policy,Public health organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Care home sector,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Other,Volunteering,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Maternity unit or birth centre,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Commissioning,Trade union or professional body,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Research,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – health visiting,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Education,Voluntary or charity sector,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Police,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Policy,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Policy organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Private domestic setting,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Research,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – adult and general care nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Consultancy,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
Education,Trade union or professional body,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – health visiting,Prison,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Quality assurance or inspection,Occupational health,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Voluntary or charity sector,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Prison,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Ambulance service,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Education,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Trade union or professional body,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
